NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
327	4.212	24.484	2.22	20.17	0.074	0.975	4000.0
328	3.786	21.482	1.707	16.575	0.109	0.98	3000.0
329	3.966	22.605	1.888	17.81	0.098	0.983	7000.0
330	3.142	17.798	1.493	13.764	0.08	0.989	2000.0
331	3.099	17.406	1.517	14.247	0.08	0.988	3000.0
332	4.249	24.121	2.043	18.164	0.102	0.979	2000.0
333	3.505	19.43	1.768	14.79	0.073	0.988	3000.0
334	3.688	21.176	1.884	16.865	0.084	0.985	3000.0
335	3.271	18.472	1.63	14.826	0.072	0.989	3000.0
336	3.263	18.177	1.696	15.362	0.07	0.986	4000.0
337	3.98	22.163	1.898	18.139	0.093	0.983	5000.0
338	3.444	19.561	1.735	16.434	0.075	0.986	3000.0
339	3.915	22.614	1.992	18.191	0.085	0.98	3000.0
340	5.123	28.758	2.325	22.279	0.131	0.967	4000.0
341	4.432	24.838	2.224	19.895	0.131	0.979	2000.0
342	4.884	27.33	2.337	20.836	0.122	0.975	2000.0
343	3.163	17.725	1.558	14.01	0.08	0.989	5000.0
344	4.663	26.425	2.306	21.128	0.1	0.983	3000.0
345	4.054	22.544	1.968	17.806	0.091	0.982	3000.0
346	4.949	28.161	2.491	22.478	0.122	0.966	3000.0
347	2.864	16.42	1.584	13.782	0.055	0.989	8000.0
348	3.319	19.171	1.619	14.891	0.081	0.985	3000.0
349	3.542	19.385	1.77	15.817	0.093	0.983	3000.0
350	2.706	15.131	1.193	10.745	0.074	0.992	16000.0
351	4.155	23.219	1.994	18.933	0.085	0.979	3000.0
352	3.51	19.516	1.645	14.675	0.072	0.99	3000.0
353	2.962	16.281	1.521	12.615	0.066	0.991	3000.0
354	3.547	20.153	1.701	15.966	0.083	0.986	4000.0
355	4.594	25.916	2.258	21.114	0.089	0.978	2000.0
356	3.013	17.22	1.464	14.299	0.061	0.987	4000.0
357	4.451	25.126	2.194	19.264	0.124	0.981	4000.0
358	5.783	33.155	2.959	29.469	0.147	0.937	5000.0
359	5.433	30.412	2.661	25.106	0.115	0.97	3000.0
360	3.542	20.031	1.614	14.84	0.084	0.989	3000.0
361	5.786	33.26	2.874	27.725	0.142	0.963	2000.0
362	4.025	22.922	1.973	18.604	0.09	0.981	7000.0
363	4.019	22.614	1.885	17.582	0.102	0.984	3000.0
