NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
460	3.342	18.879	1.565	14.637	0.07	0.988	3000.0
461	4.268	23.091	1.883	17.1	0.127	0.979	3000.0
462	3.545	20.239	1.76	15.468	0.082	0.986	2000.0
463	3.241	18.486	1.625	14.285	0.057	0.986	2000.0
464	4.702	26.43	2.355	21.977	0.098	0.973	3000.0
465	3.872	21.215	2.022	18.423	0.09	0.976	2000.0
466	3.409	18.781	1.682	15.316	0.072	0.987	4000.0
467	3.665	20.41	1.821	15.451	0.078	0.987	4000.0
468	4.713	26.938	2.22	20.538	0.125	0.973	5000.0
469	3.509	20.02	1.772	16.753	0.084	0.983	3000.0
470	3.229	17.899	1.536	13.358	0.077	0.992	4000.0
471	3.864	22.033	1.975	17.219	0.088	0.985	3000.0
472	4.119	23.223	1.958	19.156	0.113	0.973	2000.0
473	3.142	17.418	1.363	12.67	0.088	0.991	2000.0
474	4.015	22.826	1.907	16.358	0.111	0.987	3000.0
475	2.704	14.885	1.566	14.352	0.07	0.985	10000.0
476	3.997	22.924	1.878	17.447	0.094	0.985	3000.0
477	4.026	22.49	1.976	18.443	0.078	0.979	4000.0
478	4.019	23.05	2.097	19.297	0.086	0.977	3000.0
479	2.839	15.957	1.431	12.445	0.067	0.992	3000.0
480	4.99	27.979	2.463	22.81	0.125	0.973	3000.0
481	4.273	23.504	1.847	17.803	0.116	0.98	2000.0
482	4.74	26.716	2.345	21.613	0.129	0.974	2000.0
483	4.339	24.079	1.998	18.698	0.103	0.98	5000.0
484	3.945	21.969	1.972	19.277	0.083	0.978	2000.0
485	4.143	22.78	1.894	18.269	0.109	0.981	2000.0
486	2.896	16.507	1.459	13.616	0.074	0.987	2000.0
487	4.294	24.058	1.807	17.454	0.11	0.984	3000.0
488	3.628	20.536	1.743	15.714	0.091	0.988	3000.0
489	5.085	28.726	2.681	25.133	0.115	0.967	2000.0
490	4.736	27.215	2.417	22.402	0.112	0.967	2000.0
491	4.375	24.143	2.039	18.182	0.107	0.982	3000.0
492	2.343	13.161	1.21	10.293	0.058	0.994	7000.0
493	3.55	19.75	1.81	16.84	0.057	0.985	2000.0
494	3.604	20.11	1.994	17.0	0.095	0.986	3000.0
495	3.6	20.164	1.966	16.935	0.088	0.984	3000.0
496	4.524	26.098	2.184	21.975	0.113	0.973	3000.0
497	5.19	29.771	2.443	23.825	0.119	0.964	3000.0
498	5.016	28.258	2.638	25.256	0.1	0.965	2000.0
499	4.066	22.854	2.003	18.385	0.085	0.981	3000.0
500	4.08	22.454	1.881	17.246	0.114	0.981	4000.0
