MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
2:het:>40Mb	0.07955989064773546	0.05619713441842589	0.04394279602468054	0.0478305184088594	0.057356810994618763	0.11150796794957946	0.1726867278766829	0.10256218601115759	0.05791979129085811
3-4:het:0-100kb	0.04006928770337076	0.022009115867479653	0.03482068818299482	0.0410838184647137	0.06150510777011565	0.012307410256312544	0.02063859696340807	0.032152313756557534	0.016367848640376978
3-4:het:100kb-1Mb	3.7180984083224898e-06	3.709748244943967e-06	3.4156806194281674e-06	3.4337833945367743e-06	4.002028390289069e-06	3.771859865508986e-06	3.857149302276319e-06	3.997855693226406e-06	3.881550182770255e-06
3-4:het:1Mb-10Mb	0.025405440994894127	0.02464217111360145	0.03020397446376519	0.036432301354828014	0.030325010464568748	0.009215423038014332	0.14114745452127375	0.09609803278423905	0.0372599302925906
3-4:het:10Mb-40Mb	0.22397976963543859	0.09686736498545309	0.0551129889494737	0.07620496403977958	0.4626701284753217	0.07265442166781694	0.06610000046185492	0.062047468776883136	0.15028007392437934
3-4:het:>40Mb	0.3823797406032681	0.15952410907534975	0.5881141358837485	0.09627707252671608	0.09261221539629111	0.219651678305435	0.10435233727893635	0.07688839322590975	0.16957682927493267
5-8:het:0-100kb	3.71807392098944e-06	3.7097567228556726e-06	3.4157950068260565e-06	3.43384437467098e-06	4.001918916522129e-06	3.7708455954259533e-06	3.85720022014624e-06	3.9980063753503324e-06	3.881669555066303e-06
5-8:het:100kb-1Mb	3.718139207116167e-06	3.7097697130974437e-06	3.415892736002732e-06	3.4338082871553375e-06	4.001935078285612e-06	3.77038290119458e-06	3.857159004985178e-06	3.997883372779407e-06	3.881853870527863e-06
5-8:het:1Mb-10Mb	3.718219551538837e-06	3.709764333422072e-06	3.4159982131796275e-06	3.433795830769193e-06	4.001977163184733e-06	3.7706423352474872e-06	3.85699693858399e-06	3.997914630335322e-06	3.882055793825501e-06
5-8:het:10Mb-40Mb	3.718190802356247e-06	3.7097584094709646e-06	3.4160231025310343e-06	3.4338890309722482e-06	4.0019145343208605e-06	3.76980698134588e-06	3.857105353996637e-06	3.997885294210785e-06	3.882099031381259e-06
5-8:het:>40Mb	3.7180206361178135e-06	3.7097624473005907e-06	3.4157371522590352e-06	3.4337662023822266e-06	4.001966109889566e-06	3.7715701366778374e-06	3.857176879868085e-06	3.9981106590780555e-06	3.8815480265457225e-06
9+:het:0-100kb	3.718234632616557e-06	3.709745155205724e-06	3.4158659137860323e-06	3.433883188755149e-06	4.001963626848237e-06	3.770563562255802e-06	3.8571425555566914e-06	3.997706033031799e-06	3.881827365127322e-06
9+:het:100kb-1Mb	3.718091201271534e-06	3.7097303783752975e-06	3.4159867727604097e-06	3.4339751717987753e-06	4.001846708803214e-06	3.7689173778687744e-06	3.857353495399174e-06	3.997840153753774e-06	3.881993684797358e-06
9+:het:1Mb-10Mb	3.7181502565513115e-06	3.709744272669013e-06	3.4162438716470743e-06	3.434097080084464e-06	4.001776116297151e-06	3.7669303730893944e-06	3.857467420654181e-06	3.997733492623769e-06	3.882326013201265e-06
9+:het:10Mb-40Mb	3.7181842986395707e-06	3.7097634208720364e-06	3.415898200587593e-06	3.4339239003028377e-06	4.001886997201609e-06	3.76992747143845e-06	3.857179142118028e-06	3.997785832996278e-06	3.8819113207697594e-06
9+:het:>40Mb	3.7182422031349913e-06	3.709744496859457e-06	3.4160594930558022e-06	3.433771012995912e-06	4.0020918907330835e-06	3.7708248148646817e-06	3.857003991438291e-06	3.997814674687042e-06	3.882135997550051e-06
