NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
462	12.687	46.858	5.375	44.779	0.207	0.875	2000.0
463	11.195	42.164	4.394	38.478	0.19	0.905	3000.0
464	9.014	33.621	3.537	30.232	0.139	0.944	3000.0
465	9.687	36.257	4.094	34.556	0.151	0.921	7000.0
466	11.446	42.835	4.857	41.343	0.177	0.898	5000.0
467	11.679	43.897	4.54	40.301	0.182	0.891	2000.0
468	9.388	35.278	4.025	32.368	0.149	0.927	3000.0
469	11.483	42.83	4.562	39.105	0.19	0.899	2000.0
470	9.149	34.132	3.992	34.009	0.128	0.933	2000.0
471	9.859	36.903	4.189	34.263	0.16	0.924	2000.0
472	13.087	48.999	5.235	44.29	0.218	0.88	3000.0
473	10.871	40.443	4.476	36.659	0.16	0.917	9000.0
474	11.936	44.322	4.817	40.502	0.195	0.904	3000.0
475	11.823	43.933	4.819	40.728	0.179	0.895	4000.0
476	11.997	44.738	4.969	43.439	0.212	0.878	2000.0
477	10.219	37.699	4.588	34.818	0.163	0.923	8000.0
478	10.894	41.079	4.279	36.162	0.178	0.917	3000.0
479	8.504	31.911	3.417	29.771	0.132	0.946	3000.0
480	12.058	44.97	4.852	40.802	0.193	0.9	3000.0
481	10.378	38.985	4.254	36.05	0.176	0.919	4000.0
482	11.681	43.684	4.817	41.38	0.182	0.891	2000.0
483	11.668	43.704	5.17	42.83	0.2	0.88	2000.0
484	10.655	39.416	4.374	38.1	0.155	0.911	3000.0
485	11.046	41.614	4.587	39.579	0.188	0.901	3000.0
486	10.094	37.571	3.969	35.68	0.159	0.926	4000.0
487	10.303	38.354	4.405	36.912	0.148	0.918	4000.0
488	11.899	44.438	4.717	39.996	0.185	0.902	2000.0
489	14.059	52.439	6.014	47.55	0.24	0.86	3000.0
490	11.023	41.008	4.691	39.531	0.178	0.902	2000.0
491	12.941	48.16	5.547	45.769	0.194	0.873	3000.0
492	11.575	43.275	4.818	40.925	0.186	0.898	4000.0
493	10.68	40.105	4.239	37.561	0.166	0.909	3000.0
494	12.132	45.626	4.956	42.704	0.201	0.885	3000.0
495	10.898	40.531	4.279	37.029	0.183	0.915	4000.0
496	13.241	49.406	5.737	46.247	0.235	0.87	3000.0
497	9.972	37.374	4.084	33.536	0.157	0.936	2000.0
498	10.407	38.874	4.262	37.145	0.16	0.916	3000.0
499	11.644	42.985	4.611	39.312	0.191	0.907	3000.0
500	9.857	36.954	4.078	34.012	0.165	0.93	2000.0
